city,cityLabel_en
http://www.wikidata.org/entity/Q1519,Abu Dhabi
http://www.wikidata.org/entity/Q3787,Abuja
http://www.wikidata.org/entity/Q3761,Accra
http://www.wikidata.org/entity/Q3624,Addis Ababa
http://www.wikidata.org/entity/Q131694,Aden
http://www.wikidata.org/entity/Q289618,Al-Mansuriya
http://www.wikidata.org/entity/Q3561,Algiers
http://www.wikidata.org/entity/Q30966,Alofi
http://www.wikidata.org/entity/Q3805,Amman
http://www.wikidata.org/entity/Q727,Amsterdam
http://www.wikidata.org/entity/Q1863,Andorra la Vella
http://www.wikidata.org/entity/Q3640,Ankara
http://www.wikidata.org/entity/Q3915,Antananarivo
http://www.wikidata.org/entity/Q36260,Apia
http://www.wikidata.org/entity/Q23438,Ashgabat
http://www.wikidata.org/entity/Q3642,Asmara
http://www.wikidata.org/entity/Q1520,Astana
http://www.wikidata.org/entity/Q2933,Asunción
http://www.wikidata.org/entity/Q1524,Athens
http://www.wikidata.org/entity/Q170482,Avarua
http://www.wikidata.org/entity/Q1530,Baghdad
http://www.wikidata.org/entity/Q9248,Baku
http://www.wikidata.org/entity/Q3703,Bamako
http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan
http://www.wikidata.org/entity/Q1861,Bangkok
http://www.wikidata.org/entity/Q3832,Bangui
http://www.wikidata.org/entity/Q3726,Banjul
http://www.wikidata.org/entity/Q41295,Basseterre
http://www.wikidata.org/entity/Q956,Beijing
http://www.wikidata.org/entity/Q3820,Beirut
http://www.wikidata.org/entity/Q3711,Belgrade
http://www.wikidata.org/entity/Q3043,Belmopan
http://www.wikidata.org/entity/Q64,Berlin
http://www.wikidata.org/entity/Q70,Bern
http://www.wikidata.org/entity/Q559834,Bharatpur
http://www.wikidata.org/entity/Q9361,Bishkek
http://www.wikidata.org/entity/Q533087,Bishnupur
http://www.wikidata.org/entity/Q3739,Bissau
http://www.wikidata.org/entity/Q37701,Bloemfontein
http://www.wikidata.org/entity/Q2841,Bogotá
http://www.wikidata.org/entity/Q2844,Brasília
http://www.wikidata.org/entity/Q1780,Bratislava
http://www.wikidata.org/entity/Q3844,Brazzaville
http://www.wikidata.org/entity/Q36168,Bridgetown
http://www.wikidata.org/entity/Q19660,Bucharest
http://www.wikidata.org/entity/Q1781,Budapest
http://www.wikidata.org/entity/Q1486,Buenos Aires
http://www.wikidata.org/entity/Q85,Cairo
http://www.wikidata.org/entity/Q3114,Canberra
http://www.wikidata.org/entity/Q5465,Cape Town
http://www.wikidata.org/entity/Q1533,Caracas
http://www.wikidata.org/entity/Q41699,Castries
http://www.wikidata.org/entity/Q21197,Chișinău
http://www.wikidata.org/entity/Q21711493,Christiania
http://www.wikidata.org/entity/Q239,City of Brussels
http://www.wikidata.org/entity/Q35381,Colombo
http://www.wikidata.org/entity/Q3733,Conakry
http://www.wikidata.org/entity/Q2449703,Coop of Brussels
http://www.wikidata.org/entity/Q1748,Copenhagen
http://www.wikidata.org/entity/Q3718,Dakar
http://www.wikidata.org/entity/Q3766,Damascus
http://www.wikidata.org/entity/Q1354,Dhaka
http://www.wikidata.org/entity/Q7003,Dijon
http://www.wikidata.org/entity/Q9310,Dili
http://www.wikidata.org/entity/Q3604,Djibouti
http://www.wikidata.org/entity/Q3866,Dodoma
http://www.wikidata.org/entity/Q3861,Doha
http://www.wikidata.org/entity/Q1761,Dublin
http://www.wikidata.org/entity/Q9365,Dushanbe
http://www.wikidata.org/entity/Q3780,Freetown
http://www.wikidata.org/entity/Q34126,Funafuti
http://www.wikidata.org/entity/Q3919,Gaborone
http://www.wikidata.org/entity/Q10717,Georgetown
http://www.wikidata.org/entity/Q1410,Gibraltar
http://www.wikidata.org/entity/Q167551,Gitega
http://www.wikidata.org/entity/Q5565130,Gitlaxt'aamiks
http://www.wikidata.org/entity/Q1555,Guatemala City
http://www.wikidata.org/entity/Q1858,Hanoi
http://www.wikidata.org/entity/Q3921,Harare
http://www.wikidata.org/entity/Q11409340,Harunotsuji Site
http://www.wikidata.org/entity/Q1563,Havana
http://www.wikidata.org/entity/Q1757,Helsinki
http://www.wikidata.org/entity/Q40921,Honiara
http://www.wikidata.org/entity/Q3322143,Huari
http://www.wikidata.org/entity/Q1362,Islamabad
http://www.wikidata.org/entity/Q3630,Jakarta
http://www.wikidata.org/entity/Q1218,Jerusalem
http://www.wikidata.org/entity/Q1947,Juba
http://www.wikidata.org/entity/Q5838,Kabul
http://www.wikidata.org/entity/Q3894,Kampala
http://www.wikidata.org/entity/Q3037,Kathmandu
http://www.wikidata.org/entity/Q1963,Khartoum
http://www.wikidata.org/entity/Q3859,Kigali
http://www.wikidata.org/entity/Q34692,Kingston
http://www.wikidata.org/entity/Q41474,Kingstown
http://www.wikidata.org/entity/Q3838,Kinshasa
http://www.wikidata.org/entity/Q1865,Kuala Lumpur
http://www.wikidata.org/entity/Q35178,Kuwait City
http://www.wikidata.org/entity/Q1899,Kyiv
http://www.wikidata.org/entity/Q4120832,Königsberg
http://www.wikidata.org/entity/Q1491,La Paz
http://www.wikidata.org/entity/Q60379482,Laugram
http://www.wikidata.org/entity/Q3825,Libreville
http://www.wikidata.org/entity/Q3876,Lilongwe
http://www.wikidata.org/entity/Q2868,Lima
http://www.wikidata.org/entity/Q597,Lisbon
http://www.wikidata.org/entity/Q437,Ljubljana
http://www.wikidata.org/entity/Q101418,Lobamba
http://www.wikidata.org/entity/Q3792,Lomé
http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q3897,Luanda
http://www.wikidata.org/entity/Q3881,Lusaka
http://www.wikidata.org/entity/Q1842,Luxembourg
http://www.wikidata.org/entity/Q2807,Madrid
http://www.wikidata.org/entity/Q466054,Mahdia
